seed,steps,total_reward,success
1,50,-50.0,0.0
2,50,-50.0,0.0
3,50,-50.0,0.0
4,50,-50.0,0.0
5,50,-50.0,0.0
6,50,-50.0,0.0
7,50,-50.0,0.0
8,50,-50.0,0.0
9,50,-50.0,0.0
10,50,-50.0,0.0
11,50,-49.0,0.0
12,50,-48.0,0.0
13,50,-50.0,0.0
14,50,-50.0,0.0
15,50,-50.0,0.0
16,50,-50.0,0.0
17,50,-50.0,0.0
18,50,-50.0,0.0
19,50,-50.0,0.0
20,50,-50.0,0.0
50,50,-50.0,0.0
51,50,-50.0,0.0
52,50,-50.0,0.0
53,50,-50.0,0.0
54,50,-50.0,0.0
55,50,-50.0,0.0
56,50,-50.0,0.0
57,50,-50.0,0.0
58,50,-50.0,0.0
59,50,-50.0,0.0
60,50,-50.0,0.0