method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
random_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
random,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
random_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
random,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
random_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
random,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
random_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
random,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
random_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
random,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
random_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
random,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
random_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
random,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
random_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
random,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
random_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
random,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
random_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
random,action_reverse,0,0.0,-50.0,0.0,0.2261598287664426,50,1.7470694780349731,1.2017436027526855,1.0,0.0,0
random_recovery,action_reverse,0,0.0,-8.0,1.0,0.023512329730626735,50,0.10246290266513824,0.2237006574869156,0.0,1.0,0
random,action_reverse,0,0.0,-50.0,0.0,0.3614820570929926,50,1.4332915544509888,1.0482271909713745,1.0,0.0,1
random_recovery,action_reverse,0,0.0,-7.0,1.0,0.000872228165578187,50,0.044236913323402405,0.12269371747970581,0.0,1.0,1
random,action_reverse,0,0.0,-50.0,0.0,0.15788642835999656,50,1.7195196151733398,1.1821246147155762,1.0,0.0,2
random_recovery,action_reverse,0,0.0,-5.0,1.0,0.006034091103660727,50,0.07303792983293533,0.1234157532453537,0.0,1.0,2
random,action_reverse,0,0.0,-44.0,1.0,0.07755862140784074,50,1.5599135160446167,1.0957762002944946,1.0,0.0,3
random_recovery,action_reverse,0,0.0,-6.0,1.0,0.0026057337697539427,50,0.028873048722743988,0.11587528884410858,0.0,1.0,3
random,action_reverse,0,0.0,-50.0,0.0,0.1635223135656877,50,1.444069743156433,1.0689963102340698,1.0,0.0,4
random_recovery,action_reverse,0,0.0,-9.0,1.0,0.0009686455439316463,50,0.08097970485687256,0.17472989857196808,0.0,1.0,4
random,action_reverse,0,0.0,-50.0,0.0,0.2796132551112742,50,1.5102766752243042,1.1864969730377197,1.0,0.0,5
random_recovery,action_reverse,0,0.0,-7.0,1.0,0.000758218889832896,50,0.08220869302749634,0.14849740266799927,1.0,1.0,5
random,action_reverse,0,0.0,-49.0,1.0,0.31441559743196057,50,1.6232664585113525,1.1071326732635498,1.0,0.0,6
random_recovery,action_reverse,0,0.0,-4.0,1.0,0.0008455817886150979,50,0.04992678761482239,0.08114413172006607,0.0,1.0,6
random,action_reverse,0,0.0,-50.0,0.0,0.17382830059666554,50,1.5487513542175293,1.1250091791152954,1.0,0.0,7
random_recovery,action_reverse,0,0.0,-7.0,1.0,0.0007489802179868247,50,0.05500512197613716,0.13051384687423706,0.0,1.0,7
random,action_reverse,0,0.0,-50.0,0.0,0.1999773616812669,50,1.4824044704437256,1.1193451881408691,1.0,0.0,8
random_recovery,action_reverse,0,0.0,-7.0,1.0,0.0008912143203258583,50,0.06257137656211853,0.1342003345489502,0.0,1.0,8
random,action_reverse,0,0.0,-50.0,0.0,0.22675562597293167,50,1.4758561849594116,1.0869897603988647,1.0,0.0,9
random_recovery,action_reverse,0,0.0,-6.0,1.0,0.0007979994990219035,50,0.05747747793793678,0.11754060536623001,0.0,1.0,9
rule_based,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
rule_based,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
rule_based,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
rule_based_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
rule_based,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
rule_based_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
rule_based,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
rule_based_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
rule_based,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
rule_based,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
rule_based,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
rule_based_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
rule_based,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
rule_based,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
rule_based_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
rule_based,action_reverse,0,0.0,-50.0,0.0,1.506174109107723,50,0.02710726484656334,1.6372742652893066,1.0,0.0,0
rule_based_recovery,action_reverse,0,0.0,-38.0,1.0,0.07402212390226895,50,0.21082977950572968,0.46554550528526306,0.0,1.0,0
rule_based,action_reverse,0,0.0,-50.0,0.0,1.6156827276393133,50,0.03212449327111244,1.5863850116729736,1.0,0.0,1
rule_based_recovery,action_reverse,0,0.0,-37.0,1.0,0.05825588747451051,50,0.21697832643985748,0.486989825963974,0.0,1.0,1
rule_based,action_reverse,0,0.0,-50.0,0.0,0.7700933811731898,50,0.025424664840102196,1.6297633647918701,1.0,0.0,2
rule_based_recovery,action_reverse,0,0.0,-39.0,1.0,0.06664934710452372,50,0.2279253602027893,0.4347173571586609,0.0,1.0,2
rule_based,action_reverse,0,0.0,-50.0,0.0,0.7962299526476647,50,0.020255740731954575,1.6729533672332764,1.0,0.0,3
rule_based_recovery,action_reverse,0,0.0,-39.0,1.0,0.06164213735802596,50,0.23195703327655792,0.5001625418663025,1.0,1.0,3
rule_based,action_reverse,0,0.0,-50.0,0.0,1.0065704642816515,50,0.029051290825009346,1.4661839008331299,1.0,0.0,4
rule_based_recovery,action_reverse,0,0.0,-39.0,1.0,0.06638231899130276,50,0.21462810039520264,0.5044851303100586,0.0,1.0,4
rule_based,action_reverse,0,0.0,-50.0,0.0,1.4066605063034603,50,0.0348818376660347,1.547898530960083,1.0,0.0,5
rule_based_recovery,action_reverse,0,0.0,-36.0,1.0,0.06345657528558815,50,0.2216450273990631,0.4231691062450409,0.0,1.0,5
rule_based,action_reverse,0,0.0,-50.0,0.0,1.4039338646121846,50,0.03833409398794174,1.4795489311218262,1.0,0.0,6
rule_based_recovery,action_reverse,0,0.0,-37.0,1.0,0.054591382904113625,50,0.19062429666519165,0.3152267336845398,0.0,1.0,6
rule_based,action_reverse,0,0.0,-50.0,0.0,1.3751611398454846,50,0.028065092861652374,1.6121771335601807,1.0,0.0,7
rule_based_recovery,action_reverse,0,0.0,-38.0,1.0,0.07475213273540332,50,0.21699859201908112,0.4601101577281952,0.0,1.0,7
rule_based,action_reverse,0,0.0,-50.0,0.0,1.0948884121934601,50,0.02505148947238922,1.6377314329147339,1.0,0.0,8
rule_based_recovery,action_reverse,0,0.0,-41.0,1.0,0.08120161800466819,50,0.21224884688854218,0.47514060139656067,0.0,1.0,8
rule_based,action_reverse,0,0.0,-50.0,0.0,1.2467237596080005,50,0.030557360500097275,1.6106841564178467,1.0,0.0,9
rule_based_recovery,action_reverse,0,0.0,-37.0,1.0,0.06705394361596742,50,0.21942439675331116,0.4279657006263733,0.0,1.0,9
sac_her,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_her,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_her,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
sac_her_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
sac_her,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
sac_her_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
sac_her,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
sac_her_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
sac_her,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
sac_her,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_her,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
sac_her_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
sac_her,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_her,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
sac_her_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
sac_her,action_reverse,0,0.0,-50.0,0.0,1.5109942031271204,50,0.007537860423326492,1.9915380477905273,1.0,0.0,0
sac_her_recovery,action_reverse,0,0.0,-17.0,1.0,0.022341680008466803,50,0.11688343435525894,0.5032261610031128,1.0,1.0,0
sac_her,action_reverse,0,0.0,-50.0,0.0,1.4828760755577426,50,0.07341543585062027,1.9091130495071411,1.0,0.0,1
sac_her_recovery,action_reverse,0,0.0,-17.0,1.0,0.0007966611936597671,50,0.1184859499335289,0.43776971101760864,1.0,1.0,1
sac_her,action_reverse,0,0.0,-50.0,0.0,1.0878065236944408,50,0.05381566286087036,1.9555907249450684,1.0,0.0,2
sac_her_recovery,action_reverse,0,0.0,-21.0,1.0,0.002933146061941292,50,0.1955396831035614,0.5382155179977417,1.0,1.0,2
sac_her,action_reverse,0,0.0,-50.0,0.0,1.0683563592187406,50,0.05031554400920868,1.964013695716858,1.0,0.0,3
sac_her_recovery,action_reverse,0,0.0,-16.0,1.0,0.002596117974383185,50,0.11688343435525894,0.4364855885505676,1.0,1.0,3
sac_her,action_reverse,0,0.0,-50.0,0.0,1.413934423727983,50,0.0386989526450634,1.819307565689087,1.0,0.0,4
sac_her_recovery,action_reverse,0,0.0,-23.0,1.0,0.004414129365927252,50,0.18991020321846008,0.556481659412384,1.0,1.0,4
sac_her,action_reverse,0,0.0,-50.0,0.0,1.3809919501829326,50,0.040152762085199356,1.8207811117172241,1.0,0.0,5
sac_her_recovery,action_reverse,0,0.0,-16.0,1.0,0.0007871757322112717,50,0.11685103178024292,0.41223034262657166,1.0,1.0,5
sac_her,action_reverse,0,0.0,-50.0,0.0,1.4210686921925153,50,0.02410314977169037,1.9612022638320923,1.0,0.0,6
sac_her_recovery,action_reverse,0,0.0,-14.0,1.0,0.0007974320838635484,50,0.11386682838201523,0.3436969518661499,1.0,1.0,6
sac_her,action_reverse,0,0.0,-50.0,0.0,0.8403382837638393,50,0.027305152267217636,1.9541336297988892,1.0,0.0,7
sac_her_recovery,action_reverse,0,0.0,-15.0,1.0,0.0007900712336238931,50,0.11855103075504303,0.37919777631759644,1.0,1.0,7
sac_her,action_reverse,0,0.0,-50.0,0.0,1.296595615776039,50,0.04961979016661644,1.9007775783538818,1.0,0.0,8
sac_her_recovery,action_reverse,0,0.0,-17.0,1.0,0.000827509420380435,50,0.11232694983482361,0.4373423457145691,1.0,1.0,8
sac_her,action_reverse,0,0.0,-50.0,0.0,1.255115560184368,50,0.008520318195223808,1.9862979650497437,1.0,0.0,9
sac_her_recovery,action_reverse,0,0.0,-16.0,1.0,0.000710651145966162,50,0.15075074136257172,0.4543496370315552,1.0,1.0,9
sac_plain,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
sac_plain,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
sac_plain,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
sac_plain_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
sac_plain,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
sac_plain_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
sac_plain,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
sac_plain_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
sac_plain,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
sac_plain,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
sac_plain,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
sac_plain_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
sac_plain,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_plain_recovery,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
sac_plain,action_delay,0,0.0,-50.0,0.0,0.1329848890006077,50,0.0,0.0,0.0,0.0,9
sac_plain_recovery,action_delay,0,0.0,-12.0,1.0,0.0032595152967165824,50,0.059248972684144974,0.2903858721256256,0.0,1.0,9
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.5109942031271204,50,0.007537860423326492,1.9915380477905273,1.0,0.0,0
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.022341680008466803,50,0.11688343435525894,0.5032261610031128,1.0,1.0,0
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.4828760755577426,50,0.07341543585062027,1.9091130495071411,1.0,0.0,1
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.0007966611936597671,50,0.1184859499335289,0.43776971101760864,1.0,1.0,1
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.0878065236944408,50,0.05381566286087036,1.9555907249450684,1.0,0.0,2
sac_plain_recovery,action_reverse,0,0.0,-21.0,1.0,0.002933146061941292,50,0.1955396831035614,0.5382155179977417,1.0,1.0,2
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.0683563592187406,50,0.05031554400920868,1.964013695716858,1.0,0.0,3
sac_plain_recovery,action_reverse,0,0.0,-16.0,1.0,0.002596117974383185,50,0.11688343435525894,0.4364855885505676,1.0,1.0,3
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.413934423727983,50,0.0386989526450634,1.819307565689087,1.0,0.0,4
sac_plain_recovery,action_reverse,0,0.0,-23.0,1.0,0.004414129365927252,50,0.18991020321846008,0.556481659412384,1.0,1.0,4
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.3809919501829326,50,0.040152762085199356,1.8207811117172241,1.0,0.0,5
sac_plain_recovery,action_reverse,0,0.0,-16.0,1.0,0.0007871757322112717,50,0.11685103178024292,0.41223034262657166,1.0,1.0,5
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.4210686921925153,50,0.02410314977169037,1.9612022638320923,1.0,0.0,6
sac_plain_recovery,action_reverse,0,0.0,-14.0,1.0,0.0007974320838635484,50,0.11386682838201523,0.3436969518661499,1.0,1.0,6
sac_plain,action_reverse,0,0.0,-50.0,0.0,0.8403382837638393,50,0.027305152267217636,1.9541336297988892,1.0,0.0,7
sac_plain_recovery,action_reverse,0,0.0,-15.0,1.0,0.0007900712336238931,50,0.11855103075504303,0.37919777631759644,1.0,1.0,7
sac_plain,action_reverse,0,0.0,-50.0,0.0,1.296595615776039,50,0.04961979016661644,1.9007775783538818,1.0,0.0,8
sac_plain_recovery,action_reverse,0,0.0,-17.0,1.0,0.000827509420380435,50,0.11232694983482361,0.4373423457145691,1.0,1.0,8
